Rank,Player,Goals
397.0,Connor Wickham,18.0
417.0,Marc Albrighton,17.0
417.0,Gilberto Silva,17.0
417.0,Ryan Babel,17.0
417.0,Michael Ballack,17.0
417.0,Peter Beagrie,17.0
417.0,Eyal Berkovic,17.0
417.0,George Boateng,17.0
417.0,Steven Davis,17.0
417.0,Michael Essien,17.0
417.0,Zoltán Gera,17.0
417.0,Keith Gillespie,17.0
417.0,Matt Holland,17.0
417.0,Zlatan Ibrahimovic,17.0
417.0,Diomansy Kamara,17.0
417.0,Arouna Koné,17.0
417.0,Frank Leboeuf,17.0
417.0,Jesse Lingard,17.0
417.0,Fernando Llorente,17.0
417.0,Neil Maddison,17.0
417.0,Gavin Peacock,17.0
417.0,Mark Pembridge,17.0
417.0,Gary Penrice,17.0
417.0,Ramires,17.0
417.0,André Schürrle,17.0
417.0,Gareth Southgate,17.0
417.0,Patrick van Aanholt,17.0
417.0,Sam Vokes,17.0
417.0,James Ward-Prowse,17.0
417.0,Andreas Weimann,17.0
417.0,Dean Windass,17.0
417.0,Ian Woan,17.0
448.0,Joe Allen,16.0
448.0,Marcos Alonso,16.0
448.0,Jordan Ayew,16.0
448.0,Francesco Baiano,16.0
448.0,Fabio Borini,16.0
448.0,Lee Carsley,16.0
448.0,Gerard Deulofeu,16.0
448.0,Leroy Fer,16.0
448.0,David Junior Hoilett,16.0
448.0,Odion Ighalo,16.0
448.0,Kelechi Iheanacho,16.0
448.0,Joseph-Desire Job,16.0
448.0,Hassan Kachloul,16.0
448.0,Álvaro Morata,16.0
448.0,Gary O'Neil,16.0
448.0,Martin Petrov,16.0
448.0,José Antonio Reyes,16.0
448.0,Liam Ridgewell,16.0
448.0,Wayne Routledge,16.0
448.0,Neil Ruddock,16.0
448.0,Christopher Samba,16.0
448.0,Graeme Sharp,16.0
448.0,Andy Sinton,16.0
448.0,Martin Skrtel,16.0
448.0,Paul Walsh,16.0
473.0,Simon Barker,15.0
473.0,Jimmy Bullard,15.0
473.0,Marouane Chamakh,15.0
473.0,Ashley Cole,15.0
473.0,Scott Dann,15.0
473.0,Roberto Di Matteo,15.0
473.0,Ryan Fraser,15.0
473.0,Michael Hughes,15.0
473.0,Glen Johnson,15.0
473.0,Ki Sung-yueng,15.0
473.0,Kevin Kilbane,15.0
473.0,Dave Kitson,15.0
473.0,Jim Magilton,15.0
473.0,Shaun Maloney,15.0
473.0,Gareth McAuley,15.0
473.0,Clinton Morrison,15.0
473.0,Matt Oakley,15.0
473.0,Divock Origi,15.0
473.0,Carlton Palmer,15.0
473.0,Arjen Robben,15.0
473.0,Maxi Rodríguez,15.0
473.0,Branko Strupar,15.0
473.0,David Thompson,15.0
473.0,Nemanja Vidic,15.0
473.0,David Wetherall,15.0
498.0,Abou Diaby,14.0
498.0,Xabi Alonso,14.0
498.0,Elano,14.0
498.0,Lars Bohinen,14.0
498.0,Craig Burley,14.0
498.0,DJ Campbell,14.0
498.0,Robinho,14.0
498.0,Geovanni,14.0
498.0,Franco Di Santo,14.0
498.0,Jordi Gómez,14.0
498.0,Dan Gosling,14.0
498.0,Mustapha Hadji,14.0
498.0,Hermann Hreidarsson,14.0
498.0,Bojan,14.0
498.0,Erik Lamela,14.0
498.0,Kevin Lisbie,14.0
498.0,Steve Lomas,14.0
498.0,David Nugent,14.0
498.0,Shinji Okazaki,14.0
498.0,Jay Jay Okocha,14.0
498.0,Jermaine Pennant,14.0
498.0,Anthony Pilkington,14.0
498.0,Neil Redfearn,14.0
498.0,Stuart Ripley,14.0
498.0,James Scowcroft,14.0
498.0,Ryan Shawcross,14.0
498.0,Jonjo Shelvey,14.0
498.0,Jon Stead,14.0
498.0,Alan Thompson,14.0
498.0,Christian Ziege,14.0
528.0,Alun Armstrong,13.0
528.0,Hatem Ben Arfa,13.0
528.0,Danny Cadamarteri,13.0
528.0,Ivan Campo,13.0
528.0,Lee Clark,13.0
528.0,Tom Cleverley,13.0
528.0,Colin Cooper,13.0
528.0,Abdoulaye Doucouré,13.0
528.0,Mark Draper,13.0
528.0,Robert Earnshaw,13.0
528.0,Brett Emerton,13.0
528.0,Graham Fenton,13.0
528.0,Paul Furlong,13.0
528.0,Shaun Goater,13.0
528.0,Bafétimbi Gomis,13.0
528.0,Ilkay Gündogan,13.0
528.0,Barry Hayles,13.0
528.0,Raúl Jiménez,13.0
528.0,Tommy Johnson,13.0
528.0,Vinnie Jones,13.0
528.0,James McCarthy,13.0
528.0,Henrikh Mkhitaryan,13.0
528.0,Luka Modric,13.0
528.0,Trevor Morley,13.0
528.0,John O'Shea,13.0
528.0,Ian Olney,13.0
528.0,Roberto Pereyra,13.0
528.0,David Platt,13.0
528.0,Morgan Schneiderlin,13.0
528.0,Steve Sedgley,13.0
528.0,Scott Sinclair,13.0
528.0,Steve Staunton,13.0
528.0,Andy Townsend,13.0
528.0,Bernardo Silva,13.0
528.0,Thomas Vermaelen,13.0
528.0,Paul Warhurst,13.0
528.0,John Wark,13.0
528.0,Roy Wegerle,13.0
528.0,Paul Wilkinson,13.0
567.0,Neil Adams,12.0
567.0,Tony Adams,12.0
567.0,Niclas Alexandersson,12.0
567.0,Neal Ardley,12.0
567.0,Mark Atkins,12.0
567.0,Michy Batshuayi,12.0
567.0,Mikkel Beck,12.0
567.0,Ciaran Clark,12.0
567.0,Craig Dawson,12.0
567.0,Mousa Dembélé,12.0
567.0,Samuel Eto'o,12.0
567.0,Dietmar Hamann,12.0
567.0,Ander Herrera,12.0
567.0,Wes Hoolahan,12.0
567.0,Geoff Horsfield,12.0
567.0,Steve Howey,12.0
567.0,Tom Huddlestone,12.0
567.0,Andy Impey,12.0
567.0,Younes Kaboul,12.0
567.0,Marlon King,12.0
567.0,Cheikhou Kouyaté,12.0
567.0,Adam Le Fondre,12.0
567.0,Graeme Le Saux,12.0
567.0,Jason Lee,12.0
567.0,Gavin McCann,12.0
567.0,Youssouf Mulumbu,12.0
567.0,David N'Gog,12.0
567.0,Oumar Niasse,12.0
567.0,Allan Nielsen,12.0
567.0,Geremi,12.0
567.0,Brett Ormerod,12.0
567.0,Alex Oxlade-Chamberlain,12.0
567.0,Franck Queudrue,12.0
567.0,Alex Rae,12.0
567.0,Hal Robson-Kanu,12.0
567.0,Moussa Sissoko,12.0
567.0,Chris Smalling,12.0
567.0,Steven Taylor,12.0
567.0,Jo Tessem,12.0
567.0,Kolo Touré,12.0
567.0,Ben Watson,12.0
608.0,Ade Akinbiyi,11.0
608.0,Darren Ambrose,11.0
608.0,Robbie Blake,11.0
608.0,Yannick Bolasie,11.0
608.0,Emmerson Boyce,11.0
608.0,Steve Bruce,11.0
608.0,Dominic Calvert-Lewin,11.0
608.0,Steve Claridge,11.0
608.0,Andy Clarke,11.0
608.0,James Collins,11.0
608.0,Michael Dawson,11.0
608.0,Richard Dunne,11.0
608.0,Rio Ferdinand,11.0
608.0,Marc-Antoine Fortuné,11.0
608.0,Damien Francis,11.0
608.0,Jon Goodman,11.0
608.0,Yoan Gouffran,11.0
608.0,Thomas Gravesen,11.0
608.0,John Hendrie,11.0
608.0,Andy Hinchcliffe,11.0
608.0,Graham Hyde,11.0
608.0,Alex Iwobi,11.0
608.0,Aleksandar Kolarov,11.0
608.0,Adrian Littlejohn,11.0
608.0,David Luiz,11.0
608.0,Steve Marlet,11.0
608.0,James McClean,11.0
608.0,Steven Nzonzi,11.0
608.0,Dimitri Payet,11.0
608.0,Ian Pearce,11.0
608.0,Emmanuel Petit,11.0
